,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
391,Colin Paradis (D),Moose Jaw Warriors,57,0,8,8,0.14,9,-4
392,Austyn Playfair (C),Tri-City Americans,36,3,4,7,0.19,2,-19
393,Brandan Arnold (RW),Swift Current Broncos,37,3,4,7,0.19,19,-3
394,Baron Thompson (RW),Brandon Wheat Kings,47,3,4,7,0.15,39,-6
395,Tristen Nielsen (C),Calgary Hitmen,49,3,4,7,0.14,19,-18
396,Kurtis Rutledge (D),totals,60,3,4,7,0.12,32,-42
,,Tri-City Americans,20,2,2,4,0.2,8,-8
,,Kootenay Ice,40,1,2,3,0.08,24,-34
397,Cole Reinhardt (LW),Brandon Wheat Kings,61,3,4,7,0.11,20,-13
398,Ethan Sakowich (D),Red Deer Rebels,61,3,4,7,0.11,31,1
399,Taylor Sanheim (LW),Calgary Hitmen,18,2,5,7,0.39,34,-4
400,Linden McCorrister (LW),Brandon Wheat Kings,33,2,5,7,0.21,2,-14
