,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
29,Nicholas Caamano (RW),Flint Firebirds,67,35,29,64,0.96,63,-6
30,Nikita Korostelev (RW/LW),totals,55,29,35,64,1.16,32,-6
,,Sarnia Sting,31,17,18,35,1.13,20,-7
,,Peterborough Petes,24,12,17,29,1.21,12,1
,,,,,,,,,
31,Anthony Cirelli (C),totals,51,25,39,64,1.25,12,36
,,Oshawa Generals,26,13,21,34,1.31,8,18
,,Erie Otters,25,12,18,30,1.2,4,18
32,Kyle Maksimovich (LW),Erie Otters,64,16,48,64,1,26,31
33,Warren Foegele (LW/RW),totals,61,27,36,63,1.03,40,26
,,Kingston Frontenacs,28,11,20,31,1.11,20,5
,,Erie Otters,33,16,16,32,0.97,20,21
34,Austen Keating (C),Ottawa 67's,67,22,41,63,0.94,24,-2
35,Domenico Commisso (C),Oshawa Generals,68,19,44,63,0.93,36,-1
36,Matt Timms (D),Peterborough Petes,68,11,52,63,0.93,28,6
37,Drake Rymsha (C),totals,65,35,27,62,0.95,80,-4
,,Ottawa 67's,37,15,14,29,0.78,41,-2
,,Sarnia Sting,28,20,13,33,1.18,39,-2
38,Matthew Strome (LW),Hamilton Bulldogs,66,34,28,62,0.94,62,9
39,Johnny Corneil (C),Niagara IceDogs,67,31,31,62,0.93,32,-15
40,Janne Kuokkanen (LW/C),London Knights,60,26,36,62,1.03,14,24
,,,,,,,,,
41,Morgan Frost (C),Soo Greyhounds,67,20,42,62,0.93,36,15
42,Gabriel Vilardi (C),Windsor Spitfires,49,29,32,61,1.24,12,13
43,Steven Lorentz (C/LW),Peterborough Petes,66,29,32,61,0.92,37,12
44,Filip Hronek (D),Saginaw Spirit,59,14,47,61,1.03,60,15
45,Conor Timmins (D),Soo Greyhounds,67,7,54,61,0.91,69,53
46,Aaron Luchuk (C),Windsor Spitfires,68,28,32,60,0.88,14,9
47,Joseph Garreffa (RW/LW),Kitchener Rangers,68,25,35,60,0.88,18,-15
48,Jonathan Ang (C),Peterborough Petes,67,27,32,59,0.88,75,16
49,Anthony Salinitri (C),Sarnia Sting,66,28,30,58,0.88,33,-19
50,Ryan Mantha (D),Niagara IceDogs,65,17,41,58,0.89,70,-17
,,,,,,,,,
51,Cordell James (C),totals,64,34,23,57,0.89,18,6
,,Barrie Colts,36,13,12,25,0.69,12,-7
,,Owen Sound Attack,28,21,11,32,1.14,6,13
52,Ivan Lodnia (RW),Erie Otters,66,24,33,57,0.86,24,21
53,Will Bitten (RW/C),Hamilton Bulldogs,65,23,34,57,0.88,36,13
54,Michael Cramarossa (C),Hamilton Bulldogs,67,21,36,57,0.85,41,16
55,Anthony Stefano (C),Barrie Colts,62,22,34,56,0.9,26,-3
56,Jeff King (D),Sarnia Sting,66,14,42,56,0.85,76,12
57,Sam Miletic (LW),London Knights,65,37,18,55,0.85,23,31
58,Logan DeNoble (C/LW),Peterborough Petes,67,34,21,55,0.82,28,-3
59,Ryan Merkley (D),Guelph Storm,62,12,43,55,0.89,50,-41
60,Tim Gettinger (LW),Soo Greyhounds,62,31,23,54,0.87,27,26
,,,,,,,,,
61,Isaac Ratcliffe (LW),Guelph Storm,67,28,26,54,0.81,65,-2
62,Kyle Pettit (C),Erie Otters,66,26,28,54,0.82,20,14
